Name,Agency Code,Parent Organization,Child Organization(s),Acronym,Agency Type,Website
Department of Transportation (DOT),841,,,DOT,City Department,https://www.nyc.gov/html/dot/html/home/home.shtml
Department of Veterans' Services (DVS),063,,,DVS,City Department,https://www.nyc.gov/site/veterans/index.page
Department of Youth and Community Development (DYCD),260,,,DYCD,City Department,https://www.nyc.gov/site/dycd/index.page
Deputy Mayor for Economic and Workforce Development (DMEWD),,,,DMEWD,Mayor's Office,
Deputy Mayor for Health and Human Services (DMHHS),,,,DMHHS,Mayor's Office,
Deputy Mayor for Operations (DMOPS),,,,DMOPS,Mayor's Office,
Deputy Mayor for Public Safety (DMPS),,,,DMPS,Mayor's Office,
Deputy Mayor for Strategic Initiatives (DMSI),,,,DMSI,Mayor's Office,
Downtown Brooklyn Partnership (DBP),,,,DBP,Other,downtownbrooklyn.com
Economic Development Corporation (EDC),,,,EDC,Other,https://edc.nyc/
Environmental Control Board (ECB),,Office of Administrative Trials and Hearings (OATH),,ECB,Other,https://www.nyc.gov/site/oath/hearings/about-ecb.page
Equal Employment Practices Commission (EEPC),133,,,EEPC,Other,https://www.nyc.gov/site/eepc/index.page
Financial Information Services Agency / Office of Payroll Administration (FISA-OPA),127/131,,,FISA-OPA,City Department,https://www.nyc.gov/site/opa/index.page
Fire Department Pension Fund & Related Funds (NYCFPF),,,,NYCFPF,Other,https://nycfirepension.org/
Grand Central Partnership,,,,Grand Central Partnership,Other,grandcentralpartnership.nyc
Housing Development Corporation (HDC),,,,HDC,Other,https://www.nychdc.com/
Human Resources Administration (HRA),,Department of Social Services (DSS),,HRA,Other,https://www.nyc.gov/site/hra/index.page
Independent Budget Office (IBO),132,,,IBO,Other,https://ibo.nyc.ny.us/
Kings County District Attorney (BKDA),903,,,BKDA,Other,http://www.brooklynda.org/
Kings County Public Administrator (KCPA),943,,,KCPA,City Department,https://www.nyc.gov/site/kcpa/index.page
Landmarks Preservation Commission (LPC),136,,,LPC,Other,https://www.nyc.gov/site/lpc/index.page
Law Department (Law),025,,,Law,City Department,https://www.nyc.gov/site/law/index.page
Made in New York (MINY),,,,MINY,Other,https://www.madeinnyc.org/
Manhattan Borough President (MBPO),010,,,MBPO,Other,https://www.manhattanbp.nyc.gov/
Mayor's Advisory Committee on the Judiciary (MACJ),002,,,MACJ,Mayor's Office,https://www.nyc.gov/site/macj/index.page
Mayor's Community Affairs Unit (CAU),002,Mayor's Office of Engagement,"Office of Animal Welfare,Mayor's Office of Faith-Based and Community Partnerships (CFP)",CAU,Mayor's Office,https://www.nyc.gov/site/cau/index.page
Mayor's Office for Child Care and Early Childhood Education,002,,,Mayor's Office for Child Care and Early Childhood Education,Mayor's Office,
Mayor's Office for Economic Opportunity (NYC Opportunity),002,,,NYC Opportunity,Mayor's Office,https://www.nyc.gov/site/opportunity/index.page
Mayor's Office for International Affairs,002,,,Mayor's Office for International Affairs,Mayor's Office,https://www.nyc.gov/site/international/index.page
Mayor's Office for People with Disabilities (MOPD),002,,,MOPD,Mayor's Office,https://www.nyc.gov/site/mopd/index.page
Mayor's Office of Appointments (MOA),002,,,MOA,Mayor's Office,https://www.nyc.gov/site/appointments/index.page
Mayor's Office of Asylum Seeker Operations,002,,,Mayor's Office of Asylum Seeker Operations,Mayor's Office,
