Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
Comptroller,Active,Elected Office,"Comptroller, Office of the"
Conflicts of Interest Board,Active,"Advisory, Oversight, or Regulatory Body",Conflicts of Interest Board
Convention Center Development Corporation,Active,Authority or Public Benefit Corporation,Convention Center Development Corporation
Convention Center Operating Corporation (Javits),Active,Authority or Public Benefit Corporation,Convention Center Operating Corporation (Javits)
Council for Airport Opportunity - Board of Directors,Active,"Advisory, Oversight, or Regulatory Body","Airport Opportunity, Council for - Board of Directors"
Cultural Affairs Advisory Commission,Active,"Advisory, Oversight, or Regulatory Body",Cultural Affairs Advisory Commission
Cultural Institutions Retirement System - Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",Cultural Institutions Retirement System - Board of Trustees
CUNY - Board of Trustees,Active,Non-Mayoral Agency,City University of New York
CUNY Construction Fund - Board of Trustees,Active,Authority or Public Benefit Corporation,City University Construction Fund
CUNY Task Force,Ask Ops,"Advisory, Oversight, or Regulatory Body",CUNY Task Force
Cyber Command,Active,Division,Cyber Command
Dangerous Dog Advisory Board,Dissolved,"Advisory, Oversight, or Regulatory Body",Dangerous Dog Advisory Board
Deferred Compensation Board,Active,"Advisory, Oversight, or Regulatory Body",Deferred Compensation Board
Department for the Aging,Active,Mayoral Agency,"Aging, Department for the"
Department of Buildings,Active,Mayoral Agency,"Buildings, Department of"
Department of City Planning,Active,Mayoral Agency,"City Planning, Department of"
Department of Citywide Administrative Services,Active,Mayoral Agency,"Citywide Administrative Services, Department of"
Department of Consumer and Worker Protection,Active,Mayoral Agency,"Consumer and Worker Protection, Department of"
Department of Correction,Active,Mayoral Agency,"Correction, Department of"
Department of Cultural Affairs,Active,Mayoral Agency,"Cultural Affairs, Department of"
Department of Design and Construction,Active,Mayoral Agency,"Design and Construction, Department of"
Department of Education,Active,Mayoral Agency,"Education, Department of"
Department of Environment Protection,Active,Mayoral Agency,"Environmental Protection, Department of"
Department of Finance,Active,Mayoral Agency,"Finance, Department of"
Department of Health and Mental Hygiene,Active,Mayoral Agency,"Health and Mental Hygiene, Department of"
Department of Investigation,Active,Mayoral Agency,"Investigation, Department of"
Department of Parks and Recreation,Active,Mayoral Agency,"Parks and Recreation, Department of"
Department of Probation,Active,Mayoral Agency,"Probation, Department of"
Department of Records & Information Service,Active,Mayoral Agency,"Records and Information Services, Department of"
Department of Sanitation,Active,Mayoral Agency,"Sanitation, Department of"
Department of Small Business Services,Active,Mayoral Agency,"Small Business Services, Department of"
Department of Social Services,Active,Mayoral Agency,"Social Services, Department of"
Department of Social Services - Department of Homeless Services,Active,Division,"Homeless Services, Department of"
Department of Social Services - Human Resources Administration,Active,Division,Human Resources Administration
Department of Transportation,Active,Mayoral Agency,"Transportation, Department of"
Department of Veterans' Services,Active,Mayoral Agency,"Veterans' Services, Department of"
Department of Youth and Community Development,Active,Mayoral Agency,"Youth and Community Development, Department of"
Deputy Mayor of Health & Human Services,Active,Mayoral Office,"Health and Human Services, Deputy Mayor for"
Deputy Mayor of Housing Economic & Workforce Development,Active,Mayoral Office,"Housing, Economic Development and Workforce, Deputy Mayor for"
Deputy Mayor of Operations,Active,Mayoral Office,"Operations, Deputy Mayor for"
Deputy Mayor of Public Safety,Active,Mayoral Office,"Public Safety, Deputy Mayor for"
Deputy Mayor of Strategic Initiatives,Active,Mayoral Office,"Strategic Initiatives, Deputy Mayor for"
Director of Communications,Active,Mayoral Office,"Communications, Director of"
Disconnected Youth Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Disconnected Youth Task Force
District Attorney - Bronx County,Active,Elected Office,District Attorney - Bronx County
District Attorney - Kings County,Active,Elected Office,District Attorney - Kings County
District Attorney - New York County,Active,Elected Office,District Attorney - New York County
District Attorney - Queens County,Active,Elected Office,District Attorney - Queens County
